name	source_db	reason	portal_path	targets	validations
LC-04-45	Chemical Probes Portal	no InChIKey in the export and no structure resolved	lc-04-45	1	5
TO-1187	Chemical Probes Portal	no InChIKey in the export and no structure resolved	to-1187	1	3
D16-M1P2	Chemical Probes Portal	no InChIKey in the export and no structure resolved	d16-m1p2	1	3
SGC-CK1γ-1	Chemical Probes Portal	no InChIKey in the export and no structure resolved	cpd14	3	4
FGFR3-IN-10s	Chemical Probes Portal	no InChIKey in the export and no structure resolved	fgfr3-in-10s	1	4
LS-170	Chemical Probes Portal	no InChIKey in the export and no structure resolved	ls-170	1	4
CDK11-In-37	Chemical Probes Portal	no InChIKey in the export and no structure resolved	cdk11-in-37	2	4
ME43	Chemical Probes Portal	no InChIKey in the export and no structure resolved	me43	3	4
MRK-A	Chemical Probes Portal	no InChIKey in the export and no structure resolved	mrk-a	1	4
AP-204	Chemical Probes Portal	no InChIKey in the export and no structure resolved	ap-204	1	2
HDM2004	Chemical Probes Portal	no InChIKey in the export and no structure resolved	hdm2004	1	2
MKI-3	Chemical Probes Portal	no InChIKey in the export and no structure resolved	mki-3	1	4
DOT1L808	Chemical Probes Portal	no InChIKey in the export and no structure resolved	dot1l808	1	3
YYSW001	Chemical Probes Portal	no InChIKey in the export and no structure resolved	yysw001	1	2
PRMT1-Deg-4	Chemical Probes Portal	no InChIKey in the export and no structure resolved	prmt1-deg-4	1	4
CLM296	Chemical Probes Portal	no InChIKey in the export and no structure resolved	clm296	1	1
NUAK1-In-10i	Chemical Probes Portal	no InChIKey in the export and no structure resolved	nuak1-in-10i	1	3
KLHL12-In-7k	Chemical Probes Portal	no InChIKey in the export and no structure resolved	klhl12-in-7k	1	4
PI3KAD-Deg-5	Chemical Probes Portal	no InChIKey in the export and no structure resolved	pi3kad-deg-5	2	5
HDAC2-In-11	Chemical Probes Portal	no InChIKey in the export and no structure resolved	hdac2-in-11	1	2
BIO-6553	Chemical Probes Portal	no InChIKey in the export and no structure resolved	bio-6553	1	2
T-50301	Chemical Probes Portal	no InChIKey in the export and no structure resolved	t-50301	2	10
UNC8209	Chemical Probes Portal	no InChIKey in the export and no structure resolved	unc8209	1	2
APL5125	Chemical Probes Portal	no InChIKey in the export and no structure resolved	apl5125	1	6
